fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220526 173608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.0925293577122146	0.501554558143014	4756	17	0.0164965278428109	13563000	45
20220526 173625	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	0.103770382368743	0.42864462331027	3647	16	0.0174290037676812	13343000	46
20220526 173646	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.0921848521452585	0.435899410725734	4356	143	0.0160904853190801	13396000	47
20220526 173657	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.118784771842198	0.996503951905009	5758	765	0.0159707908107648	12906000	48
20220526 173737	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	269	TRUE	0.0271901377488802	0.589037269403555	7944	682	0.0215657374894666	12592000	49
20220526 173751	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	0.0907550698283447	0.996636278923973	3985	566	0.0256038781942837	11832000	50
20220526 173845	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	215	TRUE	0.0211563124943377	0.426891970497858	3762	16	0.0152201535713082	13656000	51
20220526 173906	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	102	TRUE	0.0659752432822352	0.432627003139414	3100	16	0.0152088129419807	13474000	52
20220526 174045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	457	TRUE	0.0100997473336517	0.541590304310713	3903	613	0.015662040412365	13823000	53
20220526 174227	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	398	TRUE	0.0102421364211272	0.477554589153085	3809	978	0.0151872422088003	13591000	54
20220526 174353	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	547	TRUE	0.0101840284645324	0.716777207475612	3106	823	0.0155412564568959	13651000	55
20220526 174540	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	489	TRUE	0.010520026599502	0.547522393224159	3787	701	0.0145739002060374	13620000	56
20220526 174729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	553	TRUE	0.0104022859879974	0.57288131215	5738	695	0.016833600904868	13650000	57
20220526 174913	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	536	TRUE	0.0103135083149878	0.474860981414561	3771	746	0.015960805434221	13692000	58
20220526 175022	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	483	TRUE	0.0131825612781561	0.596349679114629	7762	563	0.0159383100387087	13344000	59
