fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220530 160247	0	0	0	1	hist	lossguide	256	0	1	0.299172248487808	0.999236892437583	6	1024	0.0169244784892691	8	10589000	70
20220530 160548	0	0	0	1	hist	lossguide	256	0	1	0.0125135024745851	0.551025877742038	9	835	0.0126668020804953	216	13289000	71
20220530 160623	0	0	0	1	hist	lossguide	256	0	1	0.183674875432478	0.864018491313354	6	3	0.0190100095478162	106	12170000	72
20220530 160934	0	0	0	1	hist	lossguide	256	0	1	0.0101648446557274	0.754761431668396	9	674	0.0148370978243952	164	13305000	73
20220530 161244	0	0	0	1	hist	lossguide	256	0	1	0.010191953415748	0.826407898193901	10	865	0.0098304833422705	169	12772000	74
20220530 161358	0	0	0	1	hist	lossguide	256	0	1	0.0271993676647068	0.231407741662553	10	3	0.0278307883716073	321	11998000	75
20220530 161718	0	0	0	1	hist	lossguide	256	0	1	0.0101061316579207	0.571033814073594	9	329	0.0143513072741768	195	13533000	76
20220530 161820	0	0	0	1	hist	lossguide	256	0	1	0.0513538603992007	0.718777434326866	10	858	0.0146289547388909	56	12922000	77
20220530 161857	0	0	0	1	hist	lossguide	256	0	1	0.299031570114482	0.999485859580803	10	2	0.013132698221873	223	12787000	78
20220530 162204	0	0	0	1	hist	lossguide	256	0	1	0.0111778489133218	0.810405699522593	8	984	0.013565141697732	179	13509000	79
20220530 162542	0	0	0	1	hist	lossguide	256	0	1	0.0100698973546115	0.705890209453599	7	469	0.0141077676977183	218	13205000	80
20220530 162843	0	0	0	1	hist	lossguide	256	0	1	0.0121839614321958	0.749337544633565	9	1023	0.0135272148929261	213	13746000	81
20220530 163330	0	0	0	1	hist	lossguide	256	0	1	0.0100122271145331	0.201733478760118	7	510	0.0178494005905686	482	13069000	82
20220530 163653	0	0	0	1	hist	lossguide	256	0	1	0.0100985586200096	0.201521061960584	5	5	0.0183560485043831	875	13550000	83
20220530 164127	0	0	0	1	hist	lossguide	256	0	1	0.0100441118324005	0.200339813867342	6	204	0.0173478752460729	468	13151000	84
20220530 164153	0	0	0	1	hist	lossguide	256	0	1	0.298558812541855	0.995699036954915	6	11	0.00837150576387438	13	10884000	85
20220530 164537	0	0	0	1	hist	lossguide	256	0	1	0.0106063362733034	0.231747395553908	6	29	0.0197732052442067	504	12872000	86
20220530 164747	0	0	0	1	hist	lossguide	256	0	1	0.0192660630442627	0.20002058675258	5	918	0.018055941824583	106	12400000	87
20220530 165107	0	0	0	1	hist	lossguide	256	0	1	0.0101259129633621	0.200267422103656	4	4	0.00976100960048862	990	12708000	88
20220530 165140	0	0	0	1	hist	lossguide	256	0	1	0.288892133071063	0.48758448280812	10	2	0.0191673846289535	197	13221000	89
20220530 165534	0	0	0	1	hist	lossguide	256	0	1	0.0102914586898048	0.200508237994204	5	417	0.0136493284359045	251	13023000	90
20220530 170004	0	0	0	1	hist	lossguide	256	0	1	0.0102336327289698	0.211834191128352	10	856	0.0154516274186233	597	13272000	91
20220530 170308	0	0	0	1	hist	lossguide	256	0	1	0.0101439672670503	0.61307944385397	10	174	0.0155515689293725	203	13332000	92
20220530 170337	0	0	0	1	hist	lossguide	256	0	1	0.283072816477518	0.745175116240364	10	3	0.0134217148762663	71	12693000	93
20220530 170410	0	0	0	1	hist	lossguide	256	0	1	0.262481286987131	0.476872238357519	10	2	0.0249620464811427	196	12292000	94
20220530 170442	0	0	0	1	hist	lossguide	256	0	1	0.110634333800679	0.200384106294851	5	2	0.017825641311051	161	13102000	95
20220530 170719	0	0	0	1	hist	lossguide	256	0	1	0.0100780776010821	0.215851117567228	10	481	0.00833731386114615	51	12191000	96
20220530 171054	0	0	0	1	hist	lossguide	256	0	1	0.0100596751157611	0.425685476412346	10	6	0.0133999734768033	907	13579000	97
20220530 171112	0	0	0	1	hist	lossguide	256	0	1	0.294399333289288	0.999883157152165	10	9	0.0179018137859607	11	11856000	98
20220530 171441	0	0	0	1	hist	lossguide	256	0	1	0.0104535230337139	0.851977701074689	7	783	0.0136108123537724	187	13181000	99
20220530 171948	0	0	0	1	hist	lossguide	256	0	1	0.0105298708673506	0.226298763868058	4	2	0.0157476920054919	2290	13053000	100
20220530 172017	0	0	0	1	hist	lossguide	256	0	1	0.295211260910882	0.998804464463753	10	3	0.0341299355831155	126	9779000	101
20220530 172359	0	0	0	1	hist	lossguide	256	0	1	0.0100915471938829	0.564557504398213	9	453	0.0183241229293957	329	13183000	102
20220530 172622	0	0	0	1	hist	lossguide	256	0	1	0.0143382963204815	0.741516294907604	9	144	0.013494864381593	120	13526000	103
20220530 172903	0	0	0	1	hist	lossguide	256	0	1	0.0105599408350937	0.760983078290965	8	1023	0.00834025984597281	30	12498000	104
20220530 173227	0	0	0	1	hist	lossguide	256	0	1	0.0101094746151009	0.652936858211353	9	498	0.0138471196869457	194	13564000	105
20220530 173338	0	0	0	1	hist	lossguide	256	0	1	0.0399085634327831	0.303258590417799	10	6	0.0133957837985327	289	13553000	106
20220530 173630	0	0	0	1	hist	lossguide	256	0	1	0.0138854657101942	0.200296839361811	10	1022	0.0268542929444795	294	11945000	107
20220530 173656	0	0	0	1	hist	lossguide	256	0	1	0.29649079908493	0.653837287978194	5	3	0.0176533556832611	47	12942000	108
20220530 174032	0	0	0	1	hist	lossguide	256	0	1	0.0100202096381237	0.284231812488187	10	852	0.0135140720099042	344	13231000	109
20220530 174053	0	0	0	1	hist	lossguide	256	0	1	0.264492598198914	0.298584386118655	10	2	0.0120660143919488	72	12319000	110
20220530 174341	0	0	0	1	hist	lossguide	256	0	1	0.0122894967856305	0.708037744994986	8	852	0.0136256203596444	163	13163000	111
20220530 174436	0	0	0	1	hist	lossguide	256	0	1	0.223986568896425	0.311476531414057	10	2	0.0190599640646081	392	12994000	112
20220530 174800	0	0	0	1	hist	lossguide	256	0	1	0.0103657046690693	0.784092014198971	9	456	0.0134040360261867	252	13467000	113
20220530 175217	0	0	0	1	hist	lossguide	256	0	1	0.0101311529022647	0.562142799473627	5	235	0.0163770352072445	298	13005000	114
20220530 175404	0	0	0	1	hist	lossguide	256	0	1	0.0156965472619189	0.999714264653463	10	15	0.011828397390291	150	12927000	115
20220530 175842	0	0	0	1	hist	lossguide	256	0	1	0.0105905788765756	0.479261016387283	10	3	0.0138038229058327	1718	13568000	116
20220530 180147	0	0	0	1	hist	lossguide	256	0	1	0.0100769654885292	0.201794457527092	5	26	0.0132863210586868	284	13163000	117
20220530 180335	0	0	0	1	hist	lossguide	256	0	1	0.020756738210488	0.777402793436999	9	1023	0.0132974812767337	104	13460000	118
20220530 180359	0	0	0	1	hist	lossguide	256	0	1	0.29348748645081	0.565998352680716	9	1023	0.0145114378608178	6	11315000	119
20220530 180653	0	0	0	1	hist	lossguide	256	0	1	0.0105458427701339	0.340557705056085	5	30	0.0133550259930106	232	13305000	120
