fecha	objective	metric	grow_policy	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	max_depth	num_leaves	min_gain_to_split	max_bin	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220601 140307	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	12	TRUE	0.193409828304494	0.837207919297442	4064	21	273	0.149415836792711	47.815246881348	7.16204698158738	0.0208373461711475	10612000	11
20220601 140400	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	451	TRUE	0.0559491559576579	0.217076944055346	4570	8	840	0.14018190811427	8.06852670373499	65.2271396790942	0.022073989211586	12983000	12
20220601 140411	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	37	TRUE	0.219864249362209	0.28933541814913	6297	24	435	0.127109253407495	46.2521155642915	38.3845183312789	0.0394555535739292	7937000	13
20220601 140550	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	590	TRUE	0.0131075447044309	0.423346684711093	6684	30	124	0.175057481588253	40.9063720027916	40.2180134991391	0.0320582055396732	10827000	14
20220601 140556	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	15	TRUE	0.27213279066187	0.63273308575412	4845	11	764	0.160760994711503	71.9316777676189	25.7957517441052	0.0171480700746071	10632000	15
20220601 140610	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	122	TRUE	0.0699306437508979	0.655625825365617	7307	8	916	0.163191334910031	25.7030469766404	19.3305476542769	0.025444514089624	11433000	16
20220601 140617	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	23	TRUE	0.137319585992825	0.82361090985489	2597	10	685	0.103992998048974	67.3426682588696	86.7717991046245	0.0187399711444784	11364000	17
20220601 140625	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	1	TRUE	0.253891732933504	0.588641628011505	5415	22	39	0.180340001480848	84.954772392262	47.0526388594105	0.0403380726776689	0	18
20220601 140642	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	211	TRUE	0.0456021948509927	0.808650460771362	3964	28	961	0.117605832969033	23.470891718494	59.8669669907799	0.0235746352819627	11935000	19
20220601 140653	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	27	TRUE	0.286042839443932	0.374605156321195	7819	23	774	0.137156709109937	9.20226733950484	2.48184793615817	0.00858814646931865	11070000	20
20220601 140723	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	137	TRUE	0.0247845431711499	0.233572110525953	4765	16	252	0.15265972763882	51.7020147617182	99.2137096453613	0.0114361370043264	11942000	21
20220601 140733	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	72	TRUE	0.181057304007506	0.635310061127529	7468	5	879	0.0643124595080735	21.033780142251	76.6792839755201	0.0266581183195942	11740000	22
20220601 140751	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	113	TRUE	0.156556661708811	0.250392308175409	4180	13	691	0.197526676317405	5.19882597857051	81.0182765973473	0.0462091716467209	8815000	23
20220601 140805	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	49	TRUE	0.151231375030087	0.601552622961915	3541	17	95	0.0901577319639424	1.84404504446623	21.9294532616105	0.044706502201249	8764000	24
20220601 140813	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	1	TRUE	0.0746638203172349	0.687253202650916	5897	29	392	0.055319827675703	57.8137963395824	50.9789208700467	0.0486717622429111	0	25
20220601 140823	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	1	TRUE	0.120875531368333	0.32948045650814	7609	22	1004	0.0691600216465304	98.5993829206564	72.6896981734576	0.0337816302229098	0	26
20220601 140840	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	88	TRUE	0.099991550387931	0.297399841218268	6397	17	805	0.0742744270935267	17.1754622864278	12.0924214373291	0.0424071476340975	8444000	27
20220601 140854	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	62	TRUE	0.248436698979866	0.394758985724184	2441	15	910	0.190040815479006	12.6256651257993	67.6813940899188	0.0105529093861589	12200000	28
20220601 140907	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	28	TRUE	0.145842583410106	0.503181044131957	3269	26	151	0.0812212001231577	95.2550059792379	55.4952725677544	0.013490159490094	11588000	29
20220601 140914	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	34	TRUE	0.275937084436688	0.737691101943104	3110	9	547	0.0601420320861507	34.9291183416628	62.2296690197092	0.047145582921803	6438000	30
