Feature	Gain	Cover	Frequency
Visa_mconsumospesos_lag1	0.00299268310127796	0.00281766324869207	0.00618549475196692
mcomisiones	0.00294587604930241	0.00317837471356933	0.00515165851863534
Visa_mpagominimo_delta1	0.00291729951638075	0.00329939960174323	0.00529183970281589
mpasivos_margen_lag1	0.00291542391807565	0.00406842660563845	0.00624682402004591
Master_fultimo_cierre_lag1	0.00284326340953161	0.00359190452437094	0.00576495119942526
thomebanking	0.00283385876571068	0.00166503850288576	0.00158579964604251
Visa_mfinanciacion_limite_lag1	0.00282228733638235	0.00284097460807762	0.00531812367484974
Visa_msaldototal	0.00275715511987151	0.00172086116886279	0.00366223343671696
Visa_mconsumospesos	0.00275692221213417	0.00300205061555611	0.00609788151185407
Master_fultimo_cierre	0.00273801013882955	0.00278750261445821	0.00580875781948168
cprestamos_personales	0.00270228611262695	0.00288435721712778	0.000946222993218735
mpasivos_margen_delta1	0.00268920450510887	0.00356169109108163	0.00588760973558324
mcaja_ahorro_dolares	0.00268002899349512	0.00599987438620527	0.005510872803098
mcuenta_debitos_automaticos	0.00264846263201775	0.00751952242807676	0.00400392507315706
ccomisiones_otras	0.00260050250199478	0.00471762334802317	0.00445075259773257
mtarjeta_visa_debitos_automaticos_lag1	0.00256815647024066	0.00419415460618154	0.0046610243740034
Visa_msaldopesos	0.00255636713238342	0.00375722090315195	0.00527431705479332
mtarjeta_visa_consumo_lag1	0.00253614225221161	0.00468461433155829	0.00354833622457026
cmobile_app_trx	0.00252454832508452	0.00323188298252232	0.00532688499886103
mcomisiones_mantenimiento_lag1	0.00246562665248229	0.00517472898013895	0.00422295817343917
Visa_mconsumospesos_delta1	0.00242447765951927	0.00318980812998943	0.00526555573078204
Visa_mlimitecompra	0.00235415054388272	0.00310305859021124	0.00401268639716834
mtransferencias_emitidas	0.00234783466817558	0.00768131495024793	0.00604531356778636
Visa_mconsumosdolares_lag1	0.00234313770119748	0.00334422069684967	0.00499395468643221
Visa_fultimo_cierre_lag1	0.00233166908152512	0.00267538554945861	0.0053444076468836
Visa_cconsumos	0.00229629421217592	0.00302015070048431	0.00491510277033065
Visa_mlimitecompra_lag1	0.00225149643413177	0.00303763871601291	0.00392507315705549
mtarjeta_visa_debitos_automaticos	0.00224656766175198	0.00326519787997796	0.00441570730168743
mcomisiones_otras_lag1	0.00218088536731679	0.0014225634904772	0.00396011845310063
mtransferencias_recibidas_delta1	0.0021792715086578	0.0035939626115698	0.00505528395451121
mpayroll_lag1	0.00217004757653428	0.00611396300021389	0.0036972787327621
ccomisiones_otras_lag1	0.00216810262623294	0.00443091940458701	0.00424924214547302
Master_mlimitecompra	0.00206992578959228	0.00253086577330471	0.0037498466768298
Visa_msaldopesos_lag1	0.00204905086789052	0.00282858450658895	0.00332054180027686
tcallcenter	0.00204773206332987	0.000889037258692237	0.000963745641241304
mcomisiones_lag1	0.00203582656640503	0.00161204177761983	0.00375860800084109
mtransferencias_emitidas_lag1	0.00195817799251214	0.00285936574107416	0.00482748953021781
mcomisiones_otras_delta1	0.00194344138401418	0.00272441304616961	0.0038637438889765
mautoservicio	0.00192546764331699	0.00615449161665305	0.00425800346948431
cmobile_app_trx_lag1	0.00192220996228803	0.00368146909151833	0.00443322994971
ccallcenter_trx_delta1	0.0018754683549302	0.0026424635323107	0.00120906271355727
ctransferencias_recibidas_lag1	0.0018641028901964	0.0030962383663716	0.00430181008954073
mpayroll_delta1	0.00182825153807183	0.00863309677728718	0.00446827524575514
mtransferencias_emitidas_delta1	0.00182280113575675	0.00430755375828862	0.00380241462089751
Visa_Finiciomora_lag1	0.00179525377120668	0.00517790084304587	0.00105135888135415
mtarjeta_visa_debitos_automaticos_delta1	0.00179393351765383	0.00479367765904866	0.00334682577231071
mcomisiones_delta1	0.00178820698693199	0.002425980795519	0.00372356270479595
